Nodos: 30993
Aristas: 16635
Tipo 1: 16193
Tipo 2: 16193
Tipo 3: 442

16891	9492	1
9492	16891	2
24799	20857	1
20857	24799	2
12666	15869	1
15869	12666	2
2593	13231	1
13231	2593	2
12920	26856	1
26856	12920	2
18160	26021	1
26021	18160	2
20949	13758	1
13758	20949	2
25313	21612	1
21612	25313	2
29137	4215	1
4215	29137	2
5818	11694	1
11694	5818	2
21455	24087	1
24087	21455	2
30879	4899	1
4899	30879	2
212	24700	1
24700	212	2
18770	15656	1
15656	18770	2
212	22488	1
22488	212	2
7392	8021	1
8021	7392	2
10322	10494	1
10494	10322	2
23300	6893	1
6893	23300	2
30404	27463	1
27463	30404	2
5532	21228	1
21228	5532	2
6703	16271	1
16271	6703	2
26678	16807	1
16807	26678	2
29230	1781	1
1781	29230	2
1666	13235	1
13235	1666	2
15477	29076	1
29076	15477	2
5319	30082	1
30082	5319	2
18160	24576	1
24576	18160	2
17748	6930	1
6930	17748	2
212	28486	1
28486	212	2
10657	24220	1
24220	10657	2
19883	25985	1
25985	19883	2
29809	28183	1
28183	29809	2
25892	22372	1
22372	25892	2
7392	23957	1
23957	7392	2
19454	13003	1
13003	19454	2
16105	13231	1
13231	16105	2
26111	21963	1
21963	26111	2
19454	24340	1
24340	19454	2
7655	27369	1
27369	7655	2
25857	2465	1
2465	25857	2
7392	25314	1
25314	7392	2
20028	4221	1
4221	20028	2
10952	1966	1
1966	10952	2
27047	4299	1
4299	27047	2
25227	16185	1
16185	25227	2
10322	22283	1
22283	10322	2
2127	12575	1
12575	2127	2
212	5318	1
5318	212	2
10952	599	1
599	10952	2
30461	3127	1
3127	30461	2
20028	17338	1
17338	20028	2
12169	13513	1
13513	12169	2
6205	12050	1
12050	6205	2
5580	4464	1
4464	5580	2
6930	16794	1
16794	6930	2
29230	26796	1
26796	29230	2
2408	20500	1
20500	2408	2
30879	18659	1
18659	30879	2
992	19225	1
19225	992	2
30461	8550	1
8550	30461	2
26678	12425	1
12425	26678	2
10322	6930	1
6930	10322	2
6703	18545	1
18545	6703	2
15924	12568	1
12568	15924	2
12920	12920	1
12920	12920	2
16105	5415	1
5415	16105	2
26678	12852	1
12852	26678	2
6703	28578	1
28578	6703	2
10322	18775	1
18775	10322	2
14942	4382	1
4382	14942	2
26678	132	1
132	26678	2
11790	6097	1
6097	11790	2
17223	16763	1
16763	17223	2
7977	883	1
883	7977	2
30213	30569	1
30569	30213	2
20028	871	1
871	20028	2
12666	19459	1
19459	12666	2
18908	11643	1
11643	18908	2
27469	20884	1
20884	27469	2
748	21203	1
21203	748	2
2127	24833	1
24833	2127	2
22613	20787	1
20787	22613	2
11953	21228	1
21228	11953	2
4072	25313	1
25313	4072	2
23300	12933	1
12933	23300	2
26584	10483	1
10483	26584	2
30461	23792	1
23792	30461	2
6981	26860	1
26860	6981	2
15763	19491	1
19491	15763	2
21399	15626	1
15626	21399	2
3528	23751	1
23751	3528	2
1666	23482	1
23482	1666	2
26678	13181	1
13181	26678	2
6703	14811	1
14811	6703	2
1014	26678	1
26678	1014	2
7392	6378	1
6378	7392	2
18160	18815	1
18815	18160	2
22762	10055	1
10055	22762	2
25892	18487	1
18487	25892	2
26993	16236	1
16236	26993	2
26678	21743	1
21743	26678	2
4392	11962	1
11962	4392	2
707	16619	1
16619	707	2
5114	1844	1
1844	5114	2
20028	24420	1
24420	20028	2
10952	30461	1
30461	10952	2
669	21613	1
21613	669	2
26678	26026	1
26026	26678	2
25857	4161	1
4161	25857	2
