19249
8288	7744
13821	6977
13821	12807
13821	18810
13821	8235
13821	12150
13821	18766
13821	4079
13821	15691
13821	16038
13821	11079
13821	18167
13821	5815
13821	9719
4820	1770
4820	7108
4820	5071
4820	12613
4820	5741
4820	370
4820	4963
4820	6865
4820	1084
4820	11048
4820	356
4820	5125
4820	18817
4820	10367
4820	10633
4820	6083
4820	4532
4820	9298
4820	2069
4820	12521
4820	766
4820	6054
4820	10958
4820	1650
4820	5590
4820	17614
4820	13846
4820	5813
4820	17726
4820	15208
4820	647
4820	5566
4820	17604
4820	15735
4820	15431
4820	11893
4820	107
4820	5742
4820	3441
4820	4123
4820	5615
4820	4502
4820	13436
4820	16616
4820	11862
4820	9544
4820	19005
4820	2568
4820	18491
4820	9316
4820	5791
4820	7540
4820	16220
4820	4917
4820	15328
4820	2524
4820	18789
4820	5648
4820	14991
4820	4324
4820	9225
4820	7278
4820	9037
4820	7653
4820	8075
4820	4977
4820	3219
4820	14555
4820	16764
4820	5034
4820	9406
4820	11117
4820	1607
4820	11407
4820	8641
4820	9607
4820	11171
4820	16663
4820	9245
4820	10776
4820	11899
4820	18189
4820	18413
4820	6644
4820	8881
4820	5933
4820	5328
4820	13540
4820	17763
4820	6034
4820	7818
4820	12385
4820	17764
4820	7041
4820	16114
4820	9523
4820	2750
4820	8661
4820	7483
4820	14999
4820	18198
4405	9192
4405	16958
4405	15462
4405	12560
4405	8214
4405	8048
4405	14946
4405	10822
4405	2139
4405	2979
4405	3678
4405	8443
4405	2100
305	449
305	15844
305	14343
305	12158
305	381
305	7214
305	6977
305	9784
305	2198
305	2883
305	3638
305	10528
305	14412
305	13183
305	15107
305	6584
305	7622
305	11955
305	5613
305	18798
305	3326
305	12642
305	5888
305	12997
305	16371
305	9580
305	6790
305	396
305	5761
305	17641
305	9500
305	9173
305	9965
305	13044
305	8044
305	8586
305	11817
305	17477
305	13882
305	19214
305	6278
305	10481
305	5760
305	5741
305	8199
305	6141
305	4757
305	9353
305	2959
305	12234
305	1432
305	253
305	17973
305	344
305	13870
305	4364
305	17027
305	1419
305	2863
305	399
305	425
305	12818
305	12022
305	5919
305	13608
305	8226
305	13909
305	11553
305	14133
305	5724
305	7064
305	9098
305	11705
305	14721
305	2997
305	1269
305	18697
305	9687
305	10907
305	2008
305	8278
305	6672
305	13186
305	5384
305	4630
305	15060
305	11872
305	17424
305	14887
305	15215
305	7013
305	13480
305	11253
305	10313
305	2039
305	5885
305	14103
305	10701
305	14523
305	853
305	4480
305	1065
305	7869
305	13899
305	10895
305	13057
305	15429
305	10019
305	7348
305	10067
305	16490
305	10188
305	17728
305	9768
305	10632
305	6813
305	11703
305	7049
305	18362
305	18582
305	12476
305	13331
305	11517
305	6079
305	1556
305	1910
305	5027
305	2815
305	18700
305	2618
305	6017
305	6676
305	7509
