19251
18947	16726
13820	18406
13820	64
13820	9347
13820	9457
13820	12256
13820	4078
13820	18497
13820	16040
13820	7709
13820	16249
4814	13814
4814	13950
4814	4159
4814	4116
4814	5118
4814	8328
4814	10914
4814	18895
4814	15901
4814	2682
4814	138
4814	9776
4814	12707
4814	18704
4814	4310
4814	2008
4814	694
4814	1656
4814	14101
4814	10495
4814	7845
4814	2317
4814	7629
4814	11390
4814	322
4814	12689
4814	2534
4814	4887
4814	6459
4814	15434
4814	108
4814	7917
4814	9285
4814	12475
4814	3107
4814	5501
4814	4311
4814	4633
4814	7531
4814	4911
4814	8866
4814	14882
4814	16040
4814	6079
4814	13998
4814	7270
4814	10789
4814	11313
4814	7582
4814	16767
4814	5028
4814	9394
4814	1831
4814	7506
4814	3481
4814	11128
4814	8868
4814	10528
4814	2204
4814	12472
4814	1834
4814	1091
4814	9517
4814	12488
4814	15273
4814	15989
4814	10228
4401	4007
4401	9334
4401	1105
4401	16437
4401	14066
4401	6403
4401	7522
4401	15465
4401	4494
4401	2231
4401	8846
4401	5826
4401	15804
4401	12979
4401	5617
4401	8202
4401	2747
4401	14948
4401	8351
4401	3676
4401	8577
306	450
306	907
306	1961
306	2045
306	1427
306	6969
306	16502
306	3706
306	4115
306	17076
306	14060
306	5117
306	5047
306	5700
306	2839
306	13182
306	16490
306	14955
306	7612
306	2874
306	502
306	13946
306	847
306	10141
306	2100
306	12995
306	11689
306	17810
306	13633
306	5410
306	2013
306	9963
306	9387
306	3874
306	14949
306	6171
306	8022
306	14834
306	4152
306	10737
306	4243
306	4297
306	1931
306	13881
306	5772
306	3027
306	8279
306	19216
306	6270
306	8027
306	3301
306	10477
306	6192
306	16725
306	6131
306	2958
306	17107
306	3269
306	13406
306	11944
306	11012
306	2735
306	13732
306	3277
306	254
306	14214
306	6855
306	4099
306	9619
306	3910
306	19070
306	18778
306	11397
306	118
306	7182
306	18469
306	17264
306	1606
306	10894
306	13770
306	2854
306	19058
306	9790
